,propensity,flux intensity,Type
NCIH292_LUNG,0.489,14.10114102988311,LUNG
NCIH322_LUNG,0.4706,15.633265932435268,LUNG
NCIH3255_LUNG,0.4051,20.810170182063555,LUNG
NCIH358_LUNG,0.406,18.65223749864108,LUNG
NCIH441_LUNG,0.4044,21.16518769645568,LUNG
NCIH446_LUNG,0.3741,15.438766232838026,LUNG
NCIH460_LUNG,0.5688,12.17295969179252,LUNG
NCIH508_LARGE_INTESTINE,0.3201,14.707813257490896,LARGE INTESTINE
NCIH520_LUNG,0.467,12.35921350133399,LUNG
NCIH522_LUNG,0.578,9.631880509241173,LUNG
NCIH524_LUNG,0.3706,15.354303017114397,LUNG
NCIH526_LUNG,0.452,11.868930535776164,LUNG
